disease,drug
Coronary Artery Disease,rivaroxaban
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid / sodium citrate
Aspiration Pneumonia,prednisone
Aspiration Pneumonia,clindamycin
Aspiration Pneumonia,amoxicillin / clavulanate
Aspiration Pneumonia,metronidazole
Aspiration Pneumonia,dexamethasone
Aspiration Pneumonia,lansoprazole
Aspiration Pneumonia,piperacillin / tazobactam
Aspiration Pneumonia,ampicillin / sulbactam
Aspiration Pneumonia,cefoxitin
Aspiration Pneumonia,cilastatin / imipenem
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine / dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Hyperbilirubinemia,phenobarbital
High Cholesterol,atorvastatin
High Cholesterol,simvastatin
High Cholesterol,pravastatin
High Cholesterol,rosuvastatin
High Cholesterol,lovastatin
High Cholesterol,ezetimibe
High Cholesterol,gemfibrozil
High Cholesterol,niacin
High Cholesterol,ezetimibe / simvastatin
High Cholesterol,fenofibric acid
High Cholesterol,atorvastatin
High Cholesterol,simvastatin
High Cholesterol,pravastatin
High Cholesterol,rosuvastatin
High Cholesterol,lovastatin
High Cholesterol,ezetimibe
High Cholesterol,gemfibrozil
High Cholesterol,niacin
High Cholesterol,ezetimibe / simvastatin
High Cholesterol,fenofibric acid
High Cholesterol,atorvastatin
High Cholesterol,simvastatin
High Cholesterol,pravastatin
High Cholesterol,rosuvastatin
High Cholesterol,lovastatin
High Cholesterol,ezetimibe
High Cholesterol,gemfibrozil
High Cholesterol,niacin
High Cholesterol,ezetimibe / simvastatin
High Cholesterol,fenofibric acid
High Cholesterol,atorvastatin
High Cholesterol,simvastatin
High Cholesterol,pravastatin
High Cholesterol,rosuvastatin
High Cholesterol,lovastatin
High Cholesterol,ezetimibe
High Cholesterol,gemfibrozil
High Cholesterol,niacin
High Cholesterol,ezetimibe / simvastatin
High Cholesterol,fenofibric acid
Trophoblastic Disease,methotrexate
Trophoblastic Disease,dinoprostone
Trophoblastic Disease,dactinomycin
COPD,prednisone
COPD,montelukast
COPD,budesonide / formoterol
COPD,fluticasone / vilanterol
COPD,aclidinium
COPD,levalbuterol
COPD,roflumilast
COPD,umeclidinium / vilanterol
COPD,olodaterol / tiotropium
COPD,dyphylline
COPD,fluticasone / umeclidinium / vilanterol
COPD,olodaterol
COPD,umeclidinium
Persistent Depressive Disorder,bupropion
Persistent Depressive Disorder,sertraline
Persistent Depressive Disorder,duloxetine
Persistent Depressive Disorder,citalopram
Persistent Depressive Disorder,amitriptyline
Persistent Depressive Disorder,fluoxetine
Persistent Depressive Disorder,paroxetine
Persistent Depressive Disorder,fluvoxamine
Chronic Fatigue Syndrome,modafinil
Chronic Fatigue Syndrome,duloxetine
Chronic Fatigue Syndrome,lisdexamfetamine
Chronic Fatigue Syndrome,amantadine
Chronic Fatigue Syndrome,armodafinil
Chronic Fatigue Syndrome,modafinil
Chronic Fatigue Syndrome,duloxetine
Chronic Fatigue Syndrome,lisdexamfetamine
Chronic Fatigue Syndrome,amantadine
Chronic Fatigue Syndrome,armodafinil
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Chronic Myelogenous Leukemia,imatinib
Chronic Myelogenous Leukemia,hydroxyurea
Chronic Myelogenous Leukemia,nilotinib
Chronic Myelogenous Leukemia,dasatinib
Chronic Myelogenous Leukemia,anagrelide
Chronic Myelogenous Leukemia,cyclophosphamide
Chronic Myelogenous Leukemia,bosutinib
Chronic Myelogenous Leukemia,ponatinib
Chronic Myelogenous Leukemia,busulfan
Chronic Myelogenous Leukemia,cytarabine
Chronic Myelogenous Leukemia,fludarabine
Chronic Myelogenous Leukemia,omacetaxine
Chronic Myelogenous Leukemia,peginterferon alfa-2b
Chronic Myelogenous Leukemia,imatinib
Chronic Myelogenous Leukemia,hydroxyurea
Chronic Myelogenous Leukemia,nilotinib
Chronic Myelogenous Leukemia,dasatinib
Chronic Myelogenous Leukemia,anagrelide
Chronic Myelogenous Leukemia,cyclophosphamide
Chronic Myelogenous Leukemia,bosutinib
Chronic Myelogenous Leukemia,ponatinib
Chronic Myelogenous Leukemia,busulfan
Chronic Myelogenous Leukemia,cytarabine
Chronic Myelogenous Leukemia,fludarabine
Chronic Myelogenous Leukemia,omacetaxine
Chronic Myelogenous Leukemia,peginterferon alfa-2b
Chronic Myofascial Pain,cyclobenzaprine
Chronic Myofascial Pain,amitriptyline
Chronic Myofascial Pain,clonazepam
Chronic Myofascial Pain,ibuprofen
Chronic Myofascial Pain,naproxen
COPD,prednisone
COPD,montelukast
COPD,budesonide / formoterol
COPD,fluticasone / vilanterol
COPD,aclidinium
COPD,levalbuterol
COPD,roflumilast
COPD,umeclidinium / vilanterol
COPD,olodaterol / tiotropium
COPD,dyphylline
COPD,fluticasone / umeclidinium / vilanterol
COPD,olodaterol
COPD,umeclidinium
COPD,prednisone
COPD,montelukast
COPD,budesonide / formoterol
COPD,fluticasone / vilanterol
COPD,aclidinium
COPD,levalbuterol
COPD,roflumilast
COPD,umeclidinium / vilanterol
COPD,olodaterol / tiotropium
COPD,dyphylline
COPD,fluticasone / umeclidinium / vilanterol
COPD,olodaterol
COPD,umeclidinium
COPD,prednisone
COPD,montelukast
COPD,budesonide / formoterol
COPD,fluticasone / vilanterol
COPD,aclidinium
COPD,levalbuterol
COPD,roflumilast
COPD,umeclidinium / vilanterol
COPD,olodaterol / tiotropium
COPD,dyphylline
COPD,fluticasone / umeclidinium / vilanterol
COPD,olodaterol
COPD,umeclidinium
Overactive Bladder,darifenacin
Overactive Bladder,onabotulinumtoxinA
Prostatitis,ciprofloxacin
Prostatitis,doxycycline
Prostatitis,oxybutynin
Prostatitis,levofloxacin
Prostatitis,sulfamethoxazole / trimethoprim
Prostatitis,cephalexin
Prostatitis,moxifloxacin
Prostatitis,ofloxacin
Prostatitis,ciprofloxacin
Prostatitis,doxycycline
Prostatitis,oxybutynin
Prostatitis,levofloxacin
Prostatitis,sulfamethoxazole / trimethoprim
Prostatitis,cephalexin
Prostatitis,moxifloxacin
Prostatitis,ofloxacin
Prostatitis,ciprofloxacin
Prostatitis,doxycycline
Prostatitis,oxybutynin
Prostatitis,levofloxacin
Prostatitis,sulfamethoxazole / trimethoprim
Prostatitis,cephalexin
Prostatitis,moxifloxacin
Prostatitis,ofloxacin
Sinusitis,amoxicillin
Sinusitis,prednisone
Sinusitis,amoxicillin / clavulanate
Sinusitis,cefdinir
Sinusitis,azithromycin
Sinusitis,levofloxacin
Sinusitis,cefuroxime
Sinusitis,clarithromycin
Sinusitis,ciprofloxacin
Sinusitis,clindamycin
Sinusitis,sulfamethoxazole / trimethoprim
Sinusitis,moxifloxacin
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine / tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Urinary Tract Infection,ciprofloxacin
Urinary Tract Infection,nitrofurantoin
Urinary Tract Infection,sulfamethoxazole / trimethoprim
Urinary Tract Infection,amoxicillin
Urinary Tract Infection,doxycycline
Urinary Tract Infection,levofloxacin
Urinary Tract Infection,ceftriaxone
Urinary Tract Infection,amoxicillin / clavulanate
Urinary Tract Infection,cefuroxime
Urinary Tract Infection,trimethoprim
Urinary Tract Infection,methenamine
Urinary Tract Infection,ampicillin
Neuronal Ceroid Lipofuscinosis,cerliponase alfa
Major Depressive Disorder,bupropion
Major Depressive Disorder,sertraline
Major Depressive Disorder,trazodone
Major Depressive Disorder,venlafaxine
Major Depressive Disorder,fluoxetine
Major Depressive Disorder,mirtazapine
Major Depressive Disorder,duloxetine
Major Depressive Disorder,escitalopram
Neuronal Ceroid Lipofuscinosis,cerliponase alfa
Clostridioides difficile Infection,vancomycin
Clostridioides difficile Infection,metronidazole
Clostridioides difficile Infection,fidaxomicin
Clostridioides difficile Infection,penicillin g potassium
Clostridioides difficile Infection,penicillin v potassium
Clostridioides difficile Infection,penicillin g sodium
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
Clostridioides difficile Infection,vancomycin
Clostridioides difficile Infection,metronidazole
Clostridioides difficile Infection,fidaxomicin
Clostridioides difficile Infection,penicillin g potassium
Clostridioides difficile Infection,penicillin v potassium
Clostridioides difficile Infection,penicillin g sodium
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
Clostridioides difficile Infection,vancomycin
Clostridioides difficile Infection,metronidazole
Clostridioides difficile Infection,fidaxomicin
Clostridioides difficile Infection,penicillin g potassium
Clostridioides difficile Infection,penicillin v potassium
Clostridioides difficile Infection,penicillin g sodium
Clostridioides difficile Infection,vancomycin
Clostridioides difficile Infection,metronidazole
Clostridioides difficile Infection,fidaxomicin
Clostridioides difficile Infection,penicillin g potassium
Clostridioides difficile Infection,penicillin v potassium
Clostridioides difficile Infection,penicillin g sodium
Clostridioides difficile Infection,vancomycin
Clostridioides difficile Infection,metronidazole
Clostridioides difficile Infection,fidaxomicin
Clostridioides difficile Infection,penicillin g potassium
Clostridioides difficile Infection,penicillin v potassium
Clostridioides difficile Infection,penicillin g sodium
Chronic Myelogenous Leukemia,imatinib
Chronic Myelogenous Leukemia,hydroxyurea
Chronic Myelogenous Leukemia,nilotinib
Chronic Myelogenous Leukemia,dasatinib
Chronic Myelogenous Leukemia,anagrelide
Chronic Myelogenous Leukemia,cyclophosphamide
Chronic Myelogenous Leukemia,bosutinib
Chronic Myelogenous Leukemia,ponatinib
Chronic Myelogenous Leukemia,busulfan
Chronic Myelogenous Leukemia,cytarabine
Chronic Myelogenous Leukemia,fludarabine
Chronic Myelogenous Leukemia,omacetaxine
Chronic Myelogenous Leukemia,peginterferon alfa-2b
Chronic Myofascial Pain,cyclobenzaprine
Chronic Myofascial Pain,amitriptyline
Chronic Myofascial Pain,clonazepam
Chronic Myofascial Pain,ibuprofen
Chronic Myofascial Pain,naproxen
CNS Infection,cefotaxime
CNS Infection,cefotaxime
Bursitis,naproxen
Bursitis,prednisone
Bursitis,indomethacin
Bursitis,dexamethasone
Bursitis,cortisone
Bursitis,triamcinolone
Bursitis,betamethasone
Bursitis,trolamine salicylate
Bursitis,sulindac
Coccidioidomycosis,fluconazole
Coccidioidomycosis,itraconazole
Coccidioidomycosis,ketoconazole
Coccidioidomycosis,amphotericin b
Coccidioidomycosis,amphotericin b lipid complex
Coccidioidomycosis,fluconazole
Coccidioidomycosis,itraconazole
Coccidioidomycosis,ketoconazole
Coccidioidomycosis,amphotericin b
Coccidioidomycosis,amphotericin b lipid complex
Coccidioidomycosis,fluconazole
Coccidioidomycosis,itraconazole
Coccidioidomycosis,ketoconazole
Coccidioidomycosis,amphotericin b
Coccidioidomycosis,amphotericin b lipid complex
Coccidioidomycosis,fluconazole
Coccidioidomycosis,itraconazole
Coccidioidomycosis,ketoconazole
Coccidioidomycosis,amphotericin b
Coccidioidomycosis,amphotericin b lipid complex
Gas,simethicone
Gas,aluminum hydroxide / magnesium hydroxide / simethicone
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
Colorectal Cancer,oxaliplatin
Colorectal Cancer,fluorouracil
Colorectal Cancer,leucovorin
Colorectal Cancer,capecitabine
Colorectal Cancer,irinotecan
Colorectal Cancer,bevacizumab
Colorectal Cancer,cetuximab
Colorectal Cancer,methotrexate
Colorectal Cancer,panitumumab
Colorectal Cancer,regorafenib
Colorectal Cancer,oxaliplatin
Colorectal Cancer,fluorouracil
Colorectal Cancer,leucovorin
Colorectal Cancer,capecitabine
Colorectal Cancer,irinotecan
Colorectal Cancer,bevacizumab
Colorectal Cancer,cetuximab
Colorectal Cancer,methotrexate
Colorectal Cancer,panitumumab
Colorectal Cancer,regorafenib
Colorectal Cancer,oxaliplatin
Colorectal Cancer,fluorouracil
Colorectal Cancer,leucovorin
Colorectal Cancer,capecitabine
Colorectal Cancer,irinotecan
Colorectal Cancer,bevacizumab
Colorectal Cancer,cetuximab
Colorectal Cancer,methotrexate
Colorectal Cancer,panitumumab
Colorectal Cancer,regorafenib
Colorectal Cancer,oxaliplatin
Colorectal Cancer,fluorouracil
Colorectal Cancer,leucovorin
Colorectal Cancer,capecitabine
Colorectal Cancer,irinotecan
Colorectal Cancer,bevacizumab
Colorectal Cancer,cetuximab
Colorectal Cancer,methotrexate
Colorectal Cancer,panitumumab
Colorectal Cancer,regorafenib
Warts,salicylic acid
Warts,fluorouracil
Warts,silver nitrate
Warts,cantharidin
Methicillin-Resistant Staphylococcus Aureus Infection,vancomycin
Methicillin-Resistant Staphylococcus Aureus Infection,linezolid
Methicillin-Resistant Staphylococcus Aureus Infection,daptomycin
Methicillin-Resistant Staphylococcus Aureus Infection,ofloxacin
Methicillin-Resistant Staphylococcus Aureus Infection,dalfopristin / quinupristin
Seizures (Convulsions),levetiracetam
Seizures (Convulsions),phenobarbital
Seizures (Convulsions),phenytoin
Seizures (Convulsions),diazepam
Seizures (Convulsions),oxcarbazepine
Seizures (Convulsions),zonisamide
Seizures (Convulsions),topiramate
Seizures (Convulsions),valproic acid
Seizures (Convulsions),primidone
Post Traumatic Stress Disorder,prazosin
Post Traumatic Stress Disorder,sertraline
Post Traumatic Stress Disorder,lamotrigine
Post Traumatic Stress Disorder,mirtazapine
Post Traumatic Stress Disorder,quetiapine
Post Traumatic Stress Disorder,amitriptyline
Post Traumatic Stress Disorder,paroxetine
Post Traumatic Stress Disorder,venlafaxine
Post Traumatic Stress Disorder,risperidone
Post Traumatic Stress Disorder,desvenlafaxine
Post Traumatic Stress Disorder,aripiprazole
Post Traumatic Stress Disorder,dronabinol
Post Traumatic Stress Disorder,asenapine
Post Traumatic Stress Disorder,fluvoxamine
Reflex Sympathetic Dystrophy Syndrome,gabapentin
Reflex Sympathetic Dystrophy Syndrome,trazodone
Reflex Sympathetic Dystrophy Syndrome,amitriptyline
Reflex Sympathetic Dystrophy Syndrome,nortriptyline
Reflex Sympathetic Dystrophy Syndrome,milnacipran
Reflex Sympathetic Dystrophy Syndrome,pregabalin
Reflex Sympathetic Dystrophy Syndrome,doxepin
Reflex Sympathetic Dystrophy Syndrome,carbamazepine
Migraine,sumatriptan
Migraine,rizatriptan
Migraine,gabapentin
Migraine,aspirin / butalbital / caffeine
Migraine,cyclobenzaprine
Migraine,diclofenac
Migraine,naratriptan
Migraine,almotriptan
Migraine,zolmitriptan
Migraine,eletriptan
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Seizures (Convulsions),levetiracetam
Seizures (Convulsions),phenobarbital
Seizures (Convulsions),phenytoin
Seizures (Convulsions),diazepam
Seizures (Convulsions),oxcarbazepine
Seizures (Convulsions),zonisamide
Seizures (Convulsions),topiramate
Seizures (Convulsions),valproic acid
Seizures (Convulsions),primidone
COPD,prednisone
COPD,montelukast
COPD,budesonide / formoterol
COPD,fluticasone / vilanterol
COPD,aclidinium
COPD,levalbuterol
COPD,roflumilast
COPD,umeclidinium / vilanterol
COPD,olodaterol / tiotropium
COPD,dyphylline
COPD,fluticasone / umeclidinium / vilanterol
COPD,olodaterol
COPD,umeclidinium
Coronary Artery Disease,lisinopril
Coronary Artery Disease,amlodipine
Coronary Artery Disease,perindopril
Coronary Artery Disease,amlodipine / atorvastatin
Coronary Artery Disease,isoxsuprine
Coronary Artery Disease,rivaroxaban
Coronary Artery Disease,lisinopril
Coronary Artery Disease,amlodipine
Coronary Artery Disease,perindopril
Coronary Artery Disease,amlodipine / atorvastatin
Coronary Artery Disease,isoxsuprine
Coronary Artery Disease,rivaroxaban
Prostatitis,ciprofloxacin
Prostatitis,doxycycline
Prostatitis,oxybutynin
Prostatitis,levofloxacin
Prostatitis,sulfamethoxazole / trimethoprim
Prostatitis,cephalexin
Prostatitis,moxifloxacin
Prostatitis,ofloxacin
Prostatitis,ciprofloxacin
Prostatitis,doxycycline
Prostatitis,oxybutynin
Prostatitis,levofloxacin
Prostatitis,sulfamethoxazole / trimethoprim
Prostatitis,cephalexin
Prostatitis,moxifloxacin
Prostatitis,ofloxacin
Lice,permethrin
Lice,lindane
Lice,piperonyl butoxide / pyrethrins
Lice,spinosad
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Scleroderma,methotrexate
Scleroderma,prednisone
Scleroderma,cyclophosphamide
Hyperbilirubinemia,phenobarbital
Reflex Sympathetic Dystrophy Syndrome,gabapentin
Reflex Sympathetic Dystrophy Syndrome,trazodone
Reflex Sympathetic Dystrophy Syndrome,amitriptyline
Reflex Sympathetic Dystrophy Syndrome,nortriptyline
Reflex Sympathetic Dystrophy Syndrome,milnacipran
Reflex Sympathetic Dystrophy Syndrome,pregabalin
Reflex Sympathetic Dystrophy Syndrome,doxepin
Reflex Sympathetic Dystrophy Syndrome,carbamazepine
Cutaneous T-cell Lymphoma,bexarotene
Cutaneous T-cell Lymphoma,bexarotene
Anthrax,ciprofloxacin
Anthrax,levofloxacin
Anthrax,doxycycline
Anthrax,moxifloxacin
Anthrax,penicillin g potassium
Anthrax,chloramphenicol
Anthrax,ofloxacin
Anthrax,anthrax immune globulin intravenous
Cutaneous T-cell Lymphoma,bexarotene
Cutaneous T-cell Lymphoma,bexarotene
Ischemic Stroke,clopidogrel
Ischemic Stroke,aspirin
Ischemic Stroke,alteplase
Ischemic Stroke,nimodipine
Acne,doxycycline
Acne,spironolactone
Acne,minocycline
Acne,clindamycin
Acne,tretinoin
Acne,isotretinoin
Acne,benzoyl peroxide
Acne,adapalene
Acne,tetracycline
Acne,cephalexin
Acne,sulfamethoxazole / trimethoprim
Urinary Tract Infection,ciprofloxacin
Urinary Tract Infection,nitrofurantoin
Urinary Tract Infection,sulfamethoxazole / trimethoprim
Urinary Tract Infection,amoxicillin
Urinary Tract Infection,doxycycline
Urinary Tract Infection,levofloxacin
Urinary Tract Infection,ceftriaxone
Urinary Tract Infection,amoxicillin / clavulanate
Urinary Tract Infection,cefuroxime
Urinary Tract Infection,trimethoprim
Urinary Tract Infection,methenamine
Urinary Tract Infection,ampicillin
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid / sodium citrate
Breast Cancer,tamoxifen
Breast Cancer,anastrozole
Breast Cancer,letrozole
Breast Cancer,exemestane
Breast Cancer,cyclophosphamide
Breast Cancer,methotrexate
Breast Cancer,doxorubicin
Breast Cancer,paclitaxel
Breast Cancer,trastuzumab
Breast Cancer,capecitabine
Breast Cancer,everolimus
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Deep Vein Thrombosis,enoxaparin
Deep Vein Thrombosis,rivaroxaban
Deep Vein Thrombosis,heparin
Deep Vein Thrombosis,apixaban
Deep Vein Thrombosis,dabigatran
Deep Vein Thrombosis,fondaparinux
Deep Vein Thrombosis,edoxaban
Deep Vein Thrombosis,urokinase
Deep Vein Thrombosis,enoxaparin
Deep Vein Thrombosis,rivaroxaban
Deep Vein Thrombosis,heparin
Deep Vein Thrombosis,apixaban
Deep Vein Thrombosis,dabigatran
Deep Vein Thrombosis,fondaparinux
Deep Vein Thrombosis,edoxaban
Deep Vein Thrombosis,urokinase
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin / glucosamine
Osteoarthritis,diclofenac
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
Back Pain,tramadol
Back Pain,ibuprofen
Back Pain,acetaminophen / hydrocodone
Back Pain,naproxen
Back Pain,diclofenac
Back Pain,duloxetine
Back Pain,aspirin
Back Pain,nabumetone
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin / glucosamine
Osteoarthritis,diclofenac
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
Herpetic Keratitis,trifluridine
Herpetic Keratitis,acyclovir
Herpetic Keratitis,trifluridine
Herpetic Keratitis,acyclovir
Dental Abscess,amoxicillin
Dental Abscess,metronidazole
Dental Abscess,clarithromycin
Dental Abscess,erythromycin
Persistent Depressive Disorder,bupropion
Persistent Depressive Disorder,sertraline
Persistent Depressive Disorder,duloxetine
Persistent Depressive Disorder,citalopram
Persistent Depressive Disorder,amitriptyline
Persistent Depressive Disorder,fluoxetine
Persistent Depressive Disorder,paroxetine
Persistent Depressive Disorder,fluvoxamine
Postpartum Depression,sertraline
Postpartum Depression,citalopram
Postpartum Depression,fluoxetine
Postpartum Depression,venlafaxine
Postpartum Depression,paroxetine
Postpartum Depression,brexanolone
Postpartum Depression,sertraline
Postpartum Depression,citalopram
Postpartum Depression,fluoxetine
Postpartum Depression,venlafaxine
Postpartum Depression,paroxetine
Postpartum Depression,brexanolone
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Eczema,triamcinolone
Eczema,mometasone
Eczema,hydrocortisone
Eczema,clobetasol
Eczema,desonide
Eczema,prednisone
Eczema,fluocinonide
Eczema,ranitidine
Eczema,desoximetasone
Eczema,methotrexate
Eczema,halobetasol
Eczema,pimecrolimus
Eczema,dexamethasone
Eczema,fluocinolone
Eczema,alclometasone
Eczema,azathioprine
Atopic Dermatitis,triamcinolone
Atopic Dermatitis,clobetasol
Atopic Dermatitis,betamethasone
Atopic Dermatitis,fluocinonide
Atopic Dermatitis,hydrocortisone
Atopic Dermatitis,tacrolimus
Atopic Dermatitis,prednisone
Atopic Dermatitis,mometasone
Atopic Dermatitis,desonide
Atopic Dermatitis,fluocinolone
Atopic Dermatitis,desoximetasone
Atopic Dermatitis,fluticasone
Atopic Dermatitis,methylprednisolone
Atopic Dermatitis,dexamethasone
Atopic Dermatitis,azathioprine
Diaper Rash,zinc oxide
Diaper Rash,miconazole / zinc oxide
Diaper Rash,lanolin
Diaper Rash,menthol / zinc oxide
Diaper Rash,vitamin a & d
Diaper Rash,"vitamins a, d, and e"
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Nonketotic Hyperosmolar Syndrome,insulin regular
Nonketotic Hyperosmolar Syndrome,insulin glulisine
Nonketotic Hyperosmolar Syndrome,insulin lispro
Nonketotic Hyperosmolar Syndrome,insulin aspart
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Diaper Rash,zinc oxide
Diaper Rash,miconazole / zinc oxide
Diaper Rash,lanolin
Diaper Rash,menthol / zinc oxide
Diaper Rash,vitamin a & d
Diaper Rash,"vitamins a, d, and e"
Diaper Rash,zinc oxide
Diaper Rash,miconazole / zinc oxide
Diaper Rash,lanolin
Diaper Rash,menthol / zinc oxide
Diaper Rash,vitamin a & d
Diaper Rash,"vitamins a, d, and e"
Diaper Rash,zinc oxide
Diaper Rash,miconazole / zinc oxide
Diaper Rash,lanolin
Diaper Rash,menthol / zinc oxide
Diaper Rash,vitamin a & d
Diaper Rash,"vitamins a, d, and e"
Diaper Rash,zinc oxide
Diaper Rash,miconazole / zinc oxide
Diaper Rash,lanolin
Diaper Rash,menthol / zinc oxide
Diaper Rash,vitamin a & d
Diaper Rash,"vitamins a, d, and e"
Pseudomembranous Colitis,metronidazole
Pseudomembranous Colitis,vancomycin
Bejel,penicillin g benzathine
Dissociative Identity Disorder,sertraline
Dissociative Identity Disorder,venlafaxine
Dissociative Identity Disorder,fluoxetine
Dissociative Identity Disorder,citalopram
Insomnia,trazodone
Insomnia,zolpidem
Insomnia,temazepam
Insomnia,amitriptyline
Insomnia,lorazepam
Insomnia,clonazepam
Insomnia,mirtazapine
Insomnia,doxepin
Insomnia,quetiapine
Insomnia,eszopiclone
Insomnia,diphenhydramine
Insomnia,gabapentin
Insomnia,flurazepam
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen
Diffuse Idiopathic Skeletal Hyperostosis,naproxen
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Eczema,triamcinolone
Eczema,mometasone
Eczema,hydrocortisone
Eczema,clobetasol
Eczema,desonide
Eczema,prednisone
Eczema,fluocinonide
Eczema,ranitidine
Eczema,desoximetasone
Eczema,methotrexate
Eczema,halobetasol
Eczema,pimecrolimus
Eczema,dexamethasone
Eczema,fluocinolone
Eczema,alclometasone
Eczema,azathioprine
Diffuse Idiopathic Skeletal Hyperostosis,ibuprofen
Diffuse Idiopathic Skeletal Hyperostosis,naproxen
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Schizophrenia,risperidone
Schizophrenia,clozapine
Schizophrenia,olanzapine
Schizophrenia,quetiapine
Schizophrenia,aripiprazole
Schizophrenia,chlorpromazine
Schizophrenia,paliperidone
Schizophrenia,ziprasidone
Schizophrenia,loxapine
"Tuberculosis, Extrapulmonary",prednisone
"Tuberculosis, Extrapulmonary",cycloserine
Dissociative Identity Disorder,sertraline
Dissociative Identity Disorder,venlafaxine
Dissociative Identity Disorder,fluoxetine
Dissociative Identity Disorder,citalopram
Vertigo,meclizine
Vertigo,promethazine
Osteoarthritis,meloxicam
Osteoarthritis,diclofenac
Osteoarthritis,naproxen
Osteoarthritis,ibuprofen
Osteoarthritis,celecoxib
Osteoarthritis,chondroitin / glucosamine
Osteoarthritis,diclofenac
Osteoarthritis,etodolac
Osteoarthritis,prednisone
Osteoarthritis,aspirin
Osteoarthritis,nabumetone
Osteoarthritis,duloxetine
Drowsiness (Hypersomnia),caffeine
Drowsiness (Hypersomnia),modafinil
Drowsiness (Hypersomnia),dextroamphetamine
Drowsiness (Hypersomnia),armodafinil
Drowsiness (Hypersomnia),caffeine
Drowsiness (Hypersomnia),modafinil
Drowsiness (Hypersomnia),dextroamphetamine
Drowsiness (Hypersomnia),armodafinil
Hyperbilirubinemia,phenobarbital
Breast Cancer,tamoxifen
Breast Cancer,anastrozole
Breast Cancer,letrozole
Breast Cancer,exemestane
